id	title	year	rated	released	runtime	genre	director	writer	actors	plot	language	country	awards	poster	metascore	imdb_rating	imdb_votes	imdb_id	tomato_meter	tomato_image	tomato_rating	tomato_reviews	tomato_fresh	tomato_rotten	tomato_consensus	tomato_user_meter	tomato_user_rating	tomato_user_reviews	dvd	boxoffice	production	website
111	Buried	2010	R	01 Oct 2010	95 min	Drama, Mystery, Thriller	Rodrigo Corts	Chris Sparling	Ryan Reynolds, Jos Luis Garca Prez, Robert Paterson, Stephen Tobolowsky	Waking groggy in pitch darkness, Paul Conroy, an American truck driver working in Iraq in 2006, slowly realizes he is trapped inside a wooden coffin, buried alive. With his cigarette lighter, he can see the trap he is in, and he quickly realizes that there's not enough air for him to live long. He finds within the coffin a working cellphone, which allows him contact with the outside world. But the outside world proves not to be very helpful at finding a man buried in a box in the middle of the Iraqi desert. Paul must rely on his best resource--himself.	English	Spain, USA, France	14 wins & 30 nominations.	http://ia.media-imdb.com/images/M/MV5BMTg5MzU3OTIwOV5BMl5BanBnXkFtZTcwMzU3NzY3Mw@@._V1_SX300.jpg	65	7	104637	tt1462758	87	certified	7.3	151	131	20	Wringing a seemingly impossible amount of gripping drama out of its claustrophobic premise, Buried is a nerve-wracking showcase for Ryan Reynolds' talent.	64	3.4	62591	18 Jan 2011	$1.0M	Lionsgate	http://www.experienceburied.com/
112	Burlesque	2010	PG-13	24 Nov 2010	119 min	Drama, Music, Romance	Steve Antin	Steve Antin	Cher, Christina Aguilera, Eric Dane, Cam Gigandet	The Burlesque Lounge has its best days behind it. Tess, a retired dancer and owner of the venue, struggles to keep the aging theater alive, facing all kinds of financial and artistic challenges. With the Lounge's troupe members becoming increasingly distracted by personal problems and a threat coming from a wealthy businessman's quest to buy the spot from Tess, the good fortune seems to have abandoned the club altogether. Meanwhile, the life of Ali, a small-town girl from Iowa, is about to change dramatically. Hired by Tess as a waitress at the Lounge, Ali escapes a hollow past and quickly falls in love with the art of burlesque. Backed by newfound friends amongst the theater's crew, she manages to fulfill her dreams of being on stage herself. Things take a dramatic turn though when Ali's big voice makes her become the main attraction of the revue.	English	USA	Won 1 Golden Globe. Another 4 wins & 14 nominations.	http://ia.media-imdb.com/images/M/MV5BMTc4MzEyODI0Ml5BMl5BanBnXkFtZTcwNjIyNDQ4Mw@@._V1_SX300.jpg	47	6.4	54748	tt1126591	37	rotten	4.8	147	54	93	Campy and clichd, Burlesque wastes its talented cast (including a better-than-expected Christina Aguilera) on a movie that wavers uncertainly between 'bad' and 'so bad it's good.'	64	3.6	65168	01 Mar 2011	$39.4M	Sony Pictures/Screen Gems	http://www.burlesque-movie.com/
113	Burn After Reading	2008	R	12 Sep 2008	96 min	Comedy, Crime, Drama	Ethan Coen, Joel Coen	Joel Coen, Ethan Coen	George Clooney, Frances McDormand, Brad Pitt, John Malkovich	Osbourne Cox, a Balkan expert, is fired at the CIA, so he begins a memoir. His wife wants a divorce and expects her lover, Harry, a philandering State Department marshal, to leave his wife. A diskette falls out of a gym bag at a Georgetown fitness center. Two employees there try to turn it into cash: Linda, who wants money for elective surgery, and Chad, an amiable goof. Information on the disc leads them to Osbourne who rejects their sales pitch; then they visit the Russian embassy. To sweeten the pot, they decide they need more of Osbourne's secrets. Meanwhile, Linda's boss likes her, and Harry's wife leaves for a book tour. All roads lead to Osbourne's house.	English	USA, UK, France	Nominated for 2 Golden Globes. Another 5 wins & 17 nominations.	http://ia.media-imdb.com/images/M/MV5BMTczNjQxODE0N15BMl5BanBnXkFtZTcwMzIxMjc3MQ@@._V1_SX300.jpg	63	7	221455	tt0887883	78	certified	6.9	227	178	49	With Burn After Reading, the Coen Brothers have crafted another clever comedy/thriller with an outlandish plot and memorable characters.	64	3.3	185261	21 Dec 2008	$60.3M	Focus Features	http://www.burnafterreading.com--live.com/
114	Burning Annie	2004	N/A	08 Mar 2003	95 min	Comedy, Drama, Romance	Van Flesher	Randy Mack, Zack Ordynans	Gary Lundy, Sara Downing, Kim Murphy, Brian Klugman	A dark comedy about Max, who thinks Woody Allen's 'Annie Hall' is a cautionary tale about the futility of romance. Just as he begins to suspect the movie is ruining his love life, his world is turned inside-out by a girl who just might be the modern equivalent of Annie Hall herself.	English	USA	1 win & 1 nomination.	http://ia.media-imdb.com/images/M/MV5BMTQ0Mjg3NjY5MF5BMl5BanBnXkFtZTcwODkyMTQyMQ@@._V1_SX300.jpg	38	5.5	255	tt0307879	29	rotten	4.6	7	2	5	N/A	25	2.7	87	20 Mar 2007	N/A	Lightyear Entertainment	http://www.burningannie.com
115	Butterfly Effect: The Creative Process	2004	N/A	06 Jul 2004	N/A	Documentary, Short	Douglas Magallon, Gregory Strom	N/A	N/A	N/A	English	USA	N/A	N/A	N/A	6	18	tt0464794	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
116	The Cable Guy	1996	PG-13	14 Jun 1996	96 min	Comedy, Drama, Thriller	Ben Stiller	Lou Holtz Jr.	Jim Carrey, Matthew Broderick, Leslie Mann, Jack Black	Steven Kovak has been kicked out of his apartment by his girlfriend. Steven has a new apartment, and decides to slip the cable guy (Chip) $50 for free cable. Steven then fakes an interest in Chip's line of work. However Chip takes this to heart trying to become Steven's best bud. When Steven no longer wants to be Chips friend the man who can do it all goes on an all out assault to ruin Steven's life. In the backdrop is the delicate sub-plot of the trial of a former kid star for murdering his brother.	English, French	USA	3 wins & 1 nomination.	http://ia.media-imdb.com/images/M/MV5BMTIwODI4OTA5NF5BMl5BanBnXkFtZTcwMzQ5MDYyMQ@@._V1_SX300.jpg	N/A	6	109251	tt0115798	54	rotten	5.5	56	30	26	N/A	51	2.8	470457	08 Aug 2000	N/A	Sony Pictures Home Entertainment	N/A
117	Capote	2005	R	03 Feb 2006	114 min	Biography, Crime, Drama	Bennett Miller	Dan Futterman (screenplay), Gerald Clarke (book)	Allie Mickelson, Kelci Stephenson, Philip Seymour Hoffman, Craig Archibald	In 1959, Truman Capote, a popular writer for The New Yorker, learns about the horrific and senseless murder of a family of four in Holcomb, Kansas. Inspired by the story material, Capote and his partner, Harper Lee, travel to the town to research for an article. However, as Capote digs deeper into the story, he is inspired to expand the project into what would be his greatest work, In Cold Blood. To that end, he arranges extensive interviews with the prisoners, especially with Perry Smith, a quiet and articulate man with a troubled history. As he works on his book, Capote feels some compassion for Perry which in part prompts him to help the prisoners to some degree. However, that feeling deeply conflicts with his need for closure for his book which only an execution can provide. That conflict and the mixed motives for both interviewer and subject make for a troubling experience that would produce an literary account that would redefine modern non-fiction.	English	USA, Canada	Won 1 Oscar. Another 68 wins & 60 nominations.	http://ia.media-imdb.com/images/M/MV5BMTczMzU0MjM1MV5BMl5BanBnXkFtZTcwMjczNzgyNA@@._V1_SX300.jpg	88	7.4	88341	tt0379725	90	certified	8.2	181	163	18	Philip Seymour Hoffman's riveting central performance guides a well-constructed retelling of the most sensational and significant period in author Truman Capote's life.	81	3.6	114603	14 Mar 2006	$28.3M	Sony Pictures Classics	http://www.sonyclassics.com/capote/
118	Cars 2	2011	G	24 Jun 2011	106 min	Animation, Adventure, Comedy	John Lasseter, Brad Lewis	John Lasseter (original story by), Brad Lewis (original story by), Dan Fogelman (original story by), Ben Queen (screenplay)	Larry the Cable Guy, Owen Wilson, Michael Caine, Emily Mortimer	After Mater gets his best friend, star race car Lightning McQueen, a spot in the very first World Grand Prix, he is given the job of pit crew chief. But while they are in Japan, Mater crosses paths with Holly Shiftwell, a spy searching for an American spy. Unknown to Mater, the American spy attached a tracking device on him while being attacked. Thinking the tow truck is the spy, Holly and another spy, Finn McMissile, take Mater around the world to find and stop an evil plot created by 'lemons,' old cars considered ugly.	English, Japanese, Italian, French	USA	Nominated for 1 Golden Globe. Another 1 win & 17 nominations.	http://ia.media-imdb.com/images/M/MV5BMTUzNTc3MTU3M15BMl5BanBnXkFtZTcwMzIxNTc3NA@@._V1_SX300.jpg	57	6.3	83947	tt1216475	39	rotten	5.5	204	80	124	Cars 2 is as visually appealing as any other Pixar production, but all that dazzle can't disguise the rusty storytelling under the hood.	51	3.3	101150	01 Nov 2011	$191.5M	Walt Disney Pictures/PIXAR	http://disney.go.com/cars/
119	Cast Away	2000	PG-13	22 Dec 2000	143 min	Adventure, Drama	Robert Zemeckis	William Broyles Jr.	Paul Sanchez, Lari White, Leonid Citer, David Allen Brooks	A man is marooned on an island after his plane crashes into the ocean. Far away from home, his girlfriend, and any human contact, he engages in a battle of wits with himself as he is tested mentally, physically, and emotionally in order to survive.	English, Russian	USA	Nominated for 2 Oscars. Another 18 wins & 25 nominations.	http://ia.media-imdb.com/images/M/MV5BMTI2MDY0ODEwNF5BMl5BanBnXkFtZTYwMDI2NTk4._V1_SX300.jpg	73	7.7	332730	tt0162222	90	certified	7.4	154	138	16	Flawed but fascinating, Cast Away offers an intelligent script, some of Robert Zemeckis' most mature directing, and a showcase performance from Tom Hanks.	83	3.5	740690	12 Jun 2001	N/A	20th Century Fox	http://www.castawaymovie.com
120	Cedar Rapids	2011	R	18 Mar 2011	87 min	Comedy	Miguel Arteta	Phil Johnston	Ed Helms, John C. Reilly, Anne Heche, Isiah Whitlock Jr.	Tim Lippe (Helms) was the guy people always thought would go places but then he just ... didn't. He's been living in ber-sleepy Brown Valley, Wisconsin his whole life, still 'pre-engaged' to his 7th grade teacher Macy Vanderhei (Weaver), while selling insurance to protect other people's dreams. But now, Tim's stalled life is about to get a kick-start because, for the first time in his 34 years, he's headed to a 'major' metropolis - Cedar Rapids, Iowa - where he must try to save his company at a do-or-die insurance convention that, for him, will be entirely unconventional. From the minute he checks into his hotel with his ancient American Tourister and cummerbund money belt, it's clear Tim has no idea how the modern world really works. He is soon smitten with seductive Nebraskan insurance agent Joan Ostrowski-Fox (Heche) and awed by his experienced roommates, the straight-shooting Ronald Wilkes (Whitlock Jr.) and the suspicious Dean Zeigler (Reilly). Disheartened when he comes face-to-face with corporate corruption, Tim is ultimately lured beyond the lobby into an urban jungle he's only ever seen on DVD and when it seems his life - and chances to succeed - have gone completely topsy-turvy, he finds his own unjaded way to turn it all around.	English	USA	1 win & 4 nominations.	http://ia.media-imdb.com/images/M/MV5BNDUwMjQ3MzQwM15BMl5BanBnXkFtZTcwMDAzNjUyNA@@._V1_SX300.jpg	70	6.3	31344	tt1477837	85	certified	6.7	158	135	23	It's as conventional as its Midwestern setting, but Cedar Rapids boasts a terrific cast and a script that deftly blends R-rated raunch and endearing sweetness.	60	3.3	25696	21 Jun 2011	$6.9M	Fox Searchlight Pictures	http://www.foxsearchlight.com/cedarrapids/
121	The Cell	2000	R	18 Aug 2000	107 min	Sci-Fi, Thriller	Tarsem Singh	Mark Protosevich	Jennifer Lopez, Colton James, Dylan Baker, Marianne Jean-Baptiste	Catharine Deane is a psychotherapist who is part of a revolutionary new treatment which allows her mind to literally enter the mind of her patients. Her experience in this method takes an unexpected turn when an FBI agent comes to ask for a desperate favour. They had just tracked down a notorious serial killer, Carl Stargher, whose MO is to abduct women one at a time and place them in a secret area where they are kept for about 40 hours until they are slowly drowned. Unfortunately, the killer has fallen into an irreversible coma which means he cannot confess where he has taken his latest victim before she dies. Now, Catherine Deane must race against time to explore the twisted mind of the killer to get the information she needs, but Stargher's damaged personality poses dangers that threaten to overwhelm her.	English	USA, Germany	Nominated for 1 Oscar. Another 6 wins & 20 nominations.	http://ia.media-imdb.com/images/M/MV5BMTQ3MzM4Mzc1NV5BMl5BanBnXkFtZTgwMjIxNzQxMTE@._V1_SX300.jpg	40	6.3	73331	tt0209958	45	rotten	5.3	144	65	79	The Cell offers disturbing, stunning eye candy, but it is undermined by a weak and shallow plotline that offers nothing new.	57	2.8	180245	19 Dec 2000	$60.0M	New Line Cinema	http://www.cellmovie.com
122	The Change-Up	2011	R	05 Aug 2011	112 min	Comedy	David Dobkin	Jon Lucas, Scott Moore	Ryan Reynolds, Jason Bateman, Leslie Mann, Olivia Wilde	Growing up together, Mitch (Ryan Reynolds) and Dave (Jason Bateman) were inseparable best friends, but as the years have passed they've slowly drifted apart. While Dave is an overworked lawyer, husband and father of three, Mitch has remained a single, quasi-employed man-child who has never met a responsibility he liked. To Mitch, Dave has it all: beautiful wife Jamie (Leslie Mann), kids who adore him and a high-paying job at a prestigious law firm. To Dave, living Mitch's stress-free life without obligation or consequence would be a dream come true. Following a drunken night out together, Mitch and Dave's worlds are turned upside down when they wake up in each other's bodies and proceed to freak out. Despite the freedom from their normal routines and habits, the guys soon discover that each other's lives are nowhere near as rosy as they once seemed. Further complicating matters are Dave's sexy legal associate, Sabrina (Olivia Wilde) and Mitch's estranged father (Alan Arkin). With time not on their side, Mitch and Dave comically struggle to avoid completely destroying each other's lives before they can find a way to get their old ones back.	English	USA	2 nominations.	http://ia.media-imdb.com/images/M/MV5BMTk3NTM4NDg3OF5BMl5BanBnXkFtZTcwNDk3MzEwNQ@@._V1_SX300.jpg	39	6.4	125177	tt1488555	25	rotten	4.4	148	37	111	There's a certain amount of fun to be had from watching Bateman and Reynolds play against type, but it isn't enough to carry The Change-Up through its crude humor and formulaic plot.	47	3.2	45360	08 Nov 2011	$37.0M	Universal Pictures	http://www.thechangeupmovie.com
123	Chaos	2005	R	15 Dec 2005	106 min	Action, Crime, Drama	Tony Giglio	Tony Giglio	Jason Statham, Ryan Phillippe, Wesley Snipes, Henry Czerny	In Seattle, detective Quentin Conners is unfairly suspended and his partner Jason York leaves the police force after a tragic shooting on Pearl Street Bridge, when the hostage and the criminal die. During a bank heist with a hostage situation, Conners is assigned in charge of the operation with the rookie Shane Dekker as his partner. The thieves, lead by Lorenz, apparently do not steal a penny from the bank. While chasing the gangsters, the police team disclose that they planted a virus in the system, stealing one billion dollars from the different accounts, using the principle of the Chaos Theory. Further, they find that Lorenz is killing his accomplices.	English	Canada, UK, USA	N/A	http://ia.media-imdb.com/images/M/MV5BMTc3NDU0MTgyN15BMl5BanBnXkFtZTcwNjgwMzY4NA@@._V1_SX300.jpg	N/A	6.5	39721	tt0402910	N/A	N/A	N/A	N/A	N/A	N/A	N/A	58	3.4	20927	19 Feb 2008	N/A	Rogue Pictures	N/A
